,,D,A,D,A,D,A,D,AD,A,D,A,D,A,D,A,D,AD,A,D,AD,A,D,A,D,AD,A,D,A,D,A,D,A,D,AD,A,D,A,D,A,D,A,D,A,D,A,D,A,D,A,D,A,D,A
,,11871903351,9961258724,9961258724,10694286202,10694286202,7205156020,7205156020,10694286201,7206401686,7206401686,9961298076,9961298076,11874360195,11874360195,11755899803,11755899803,6872615131,10693253653,10693253653,10694286156,11549081663,11549081663,11549081621,11549081621,7835805289,10694245344,10694245344,10693460291,10693460291,291546102,291546102,11546259370,11546259370,3468494606,1227216840,1227216840,11432455980,11432455980,10694595318,10694595318,3352316735,3352316735,10694595366,10694595366,10314211393,10314211393,10314211390,10314211390,10698993414,10698993414,10698966829,10698966829,10698921283
17077467,371,,,,,,,,,,,,,,,,04:45,04:51,04:59,05:01,05:07,05:13,05:15,05:23,05:25,05:30,05:37,05:43,05:48,05:53,06:05,06:07,06:12,06:14,06:19,06:25,,,,,,,,,,,,,,,,,,
17077467,381,,,,,,,,,,,,,,,,05:55,06:01,06:09,06:11,06:17,06:23,06:25,06:33,06:35,06:40,06:47,06:50,06:55,06:57,07:07,07:09,07:14,07:16,07:21,07:27,,,,,,,,,,,,,,,,,,
17549847,391,,,,,,,05:15,05:19,05:28,05:30,05:37,05:39,05:59,06:01,06:16,06:16,06:22,06:33,06:35,06:41,06:47,06:49,06:57,06:59,07:04,07:11,07:14,07:19,07:21,07:32,07:34,07:39,07:41,07:46,07:52,,,,,,,,,,,,,,,,,,
17077467,361,,,,,,,,,,,,,,,,06:38,06:44,06:55,07:05,07:11,07:18,07:20,07:28,07:30,07:35,07:42,07:47,07:54,07:56,08:04,08:06,08:11,08:32,08:37,08:45,,,,,,,,,,,,,,,,,,
17549850,351,05:35,05:50,05:52,06:00,06:02,06:12,06:15,06:19,06:28,06:30,06:37,06:39,06:59,07:34,07:49,07:51,07:57,08:06,08:08,08:14,08:20,08:22,08:30,08:36,08:41,08:48,08:57,09:02,09:04,09:15,09:28,09:34,09:36,09:41,09:47,,,,,,,,,,,,,,,,,,
17077467,373,,,,,,,,,,,,,,,,09:20,09:26,09:35,09:37,09:43,09:49,09:51,09:59,10:01,10:06,10:13,10:19,10:25,10:29,10:39,10:41,10:46,10:48,10:53,10:59,,,,,,,,,,,,,,,,,,
17077467,383,,,,,,,,,,,,,,,,10:06,10:12,10:21,10:25,10:31,10:38,10:40,10:48,10:56,11:01,11:08,11:15,11:21,11:23,11:33,11:35,11:40,11:42,11:47,11:53,,,,,,,,,,,,,,,,,,
17077467,393,,,,,,,,,,,,,,,,10:50,10:56,11:05,11:07,11:13,11:19,11:21,11:29,11:31,11:36,11:43,11:47,11:52,11:54,12:06,12:08,12:13,12:15,12:20,12:26,,,,,,,,,,,,,,,,,,
17077467,363,,,,,,,,,,,,,,,,11:50,11:56,12:05,12:07,12:13,12:19,12:21,12:29,12:31,12:36,12:43,12:47,12:53,12:55,13:06,13:28,13:34,13:36,13:41,13:47,,,,,,,,,,,,,,,,,,
17077467,353,,,,,,,,,,,,,,,,12:40,12:46,12:55,13:09,13:15,13:21,13:23,13:31,13:33,13:38,13:45,13:48,13:53,13:58,14:09,14:11,14:16,14:18,14:23,14:29,,,,,,,,,,,,,,,,,,
17545520,349,11:50,12:05,12:07,12:15,12:17,12:27,12:34,12:38,12:46,12:48,12:55,13:02,13:21,13:23,13:37,13:39,13:45,13:57,13:59,14:05,14:11,14:13,14:21,14:26,14:31,14:38,14:51,14:56,14:58,15:08,15:10,15:15,15:17,15:22,15:28,15:30,15:41,15:49,16:00,16:09,16:17,16:19,16:26,16:28,16:34,16:36,16:52,17:03,17:10,17:12,17:23,17:25,17:35
17077467,375,,,,,,,,,,,,,,,,13:55,14:01,14:10,14:24,14:30,14:37,14:39,14:47,14:54,14:59,15:06,15:14,15:20,15:23,15:33,15:35,15:40,15:42,15:47,15:53,,,,,,,,,,,,,,,,,,
17077467,385,,,,,,,,,,,,,,,,14:33,14:39,14:48,14:50,14:56,15:03,15:18,15:26,15:28,15:33,15:40,15:43,15:49,15:58,16:08,16:10,16:15,16:17,16:22,16:28,,,,,,,,,,,,,,,,,,
17077467,395,,,,,,,,,,,,,,,,15:15,15:21,15:30,15:32,15:38,15:45,15:47,15:55,16:00,16:05,16:12,16:19,16:24,16:26,16:37,16:39,16:44,16:46,16:51,16:57,,,,,,,,,,,,,,,,,,
17077467,365,,,,,,,,,,,,,,,,16:22,16:28,16:37,16:50,16:56,17:03,17:05,17:13,17:20,17:25,17:32,17:42,17:47,17:53,18:02,18:04,18:09,18:11,18:16,18:22,,,,,,,,,,,,,,,,,,
17077467,355,,,,,,,,,,,,,,,,17:36,17:42,17:51,18:06,18:12,18:18,18:21,18:29,18:31,18:36,18:43,18:50,18:55,18:58,19:08,19:10,19:17,19:19,19:24,19:28,,,,,,,,,,,,,,,,,,
17077467,377,,,,,,,,,,,,,,,,18:50,18:56,19:05,19:08,19:14,19:21,19:23,19:31,19:33,19:38,19:45,19:48,19:53,19:55,20:05,20:07,20:12,20:14,20:19,20:25,,,,,,,,,,,,,,,,,,
17077467,387,,,,,,,,,,,,,,,,19:15,19:21,19:30,19:35,19:41,19:48,19:50,19:58,20:00,20:05,20:12,20:15,20:20,20:22,20:32,20:34,20:39,20:41,20:46,20:52,,,,,,,,,,,,,,,,,,
17077467,397,,,,,,,,,,,,,,,,19:50,19:56,20:05,20:07,20:13,20:19,20:21,20:29,20:31,20:36,20:43,20:45,20:50,20:55,21:05,21:07,21:12,21:14,21:19,21:25,,,,,,,,,,,,,,,,,,
